"Story","Title","Result","Date","Stability","Duration (s)"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with valid parameter","SUCCESS","2023-01-20T18:09:56.956+07:00[Asia/Bangkok]","0.0","2.0"
"Testing GET comments JsonPlaceHolder","GET comments with valid parameter id","SUCCESS","2023-01-20T18:10:03.245+07:00[Asia/Bangkok]","0.0","1.46"
"Testing GET comments JsonPlaceHolder","GET comments with invalid parameter","SUCCESS","2023-01-20T18:10:09.708+07:00[Asia/Bangkok]","0.0","2.07"
"Testing POST comments JsonPlaceHolder","POST comments with valid json","SUCCESS","2023-01-20T18:10:11.78+07:00[Asia/Bangkok]","0.0","1.1"
"Testing PUT comments JsonPlaceHolder","PUT comments with valid json","SUCCESS","2023-01-20T18:10:17.054+07:00[Asia/Bangkok]","0.0","1.18"
"Testing Delete Todos JsonPlaceHolder API","Delete todos with valid id should success then return 200 response code","SUCCESS","2023-01-20T18:10:43.061+07:00[Asia/Bangkok]","0.0","1.1"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id should succes then return 200 response code","SUCCESS","2023-01-20T18:10:46.09+07:00[Asia/Bangkok]","0.0","1.1"
"Testing GET todos JsonPlaceHolder API","GET todos with id 1 and get respon body page with id 1 should succes then return 200 response code","SUCCESS","2023-01-20T18:10:47.191+07:00[Asia/Bangkok]","0.0","0.88"
"Testing GET todos JsonPlaceHolder API","GET todos without id should success then return 200 response code","SUCCESS","2023-01-20T18:10:50.027+07:00[Asia/Bangkok]","0.0","1.74"
"Testing GET todos JsonPlaceHolder API","GET todos with modified parameter should succes then return 200 response code","SUCCESS","2023-01-20T18:10:51.772+07:00[Asia/Bangkok]","0.0","0.87"
"Testing POST Todos JsonPlaceHolder API","POST todos with valid input body should succes then return 201 response code","SUCCESS","2023-01-20T18:10:53.762+07:00[Asia/Bangkok]","0.0","1.07"
"Testing PUT Todos JsonPlaceHolder API","Put update user with valid json should success then return 200 response code","SUCCESS","2023-01-20T18:10:59.184+07:00[Asia/Bangkok]","0.0","0.85"
